# ###################################################################
#      2d Ising Model with Metropolis algorithm on square lattice    
# Run on  () by bips on Wed Dec  1 19:47:21 2021
# L       =     10 (Lattice linear dimension, N=L*L)
# seed    =           5342
# nsweeps =        10000 (No. of sweeps)
# beta    =      0.44000000000000000    
# start   =    1 (0 cold, 1 hot, 2 old config)
# RANLUX LUXURY LEVEL SET BY RLUXGO : 3     P= 223
# RANLUX INITIALIZED BY RLUXGO FROM SEEDS        5342           0           0
        -120          56
        -120          56
        -124          48
        -124          36
        -112          34
        -124          46
        -108          54
        -112          32
         -84          30
         -88          36
        -108          52
         -92          58
        -140          80
        -140          82
        -164          90
        -184          96
        -184          96
        -168          90
        -136          80
        -100          52
        -116          46
        -152          62
        -136          60
        -128          62
        -132          60
        -136          70
        -140          76
        -132          68
        -136          64
        -104          62
        -108          64
        -120          68
        -120          64
        -132          72
        -164          78
        -156          82
        -144          84
        -152          88
        -168          90
        -180          94
        -164          84
        -176          94
        -132          80
        -144          80
        -152          84
        -116          74
        -132          70
        -128          68
        -128          68
        -152          82
        -132          66
        -144          70
        -148          74
        -144          74
        -160          82
        -164          86
        -176          84
        -156          80
        -136          76
        -124          76
        -160          88
        -164          88
        -148          76
        -144          72
        -156          88
        -168          90
        -148          84
        -176          92
        -164          88
        -152          86
        -160          88
        -172          90
        -144          78
        -156          84
        -168          90
        -176          94
        -152          86
        -152          86
        -124          72
        -144          80
        -164          90
        -160          88
        -140          80
        -128          80
        -180          94
        -172          92
        -156          88
        -160          88
        -164          88
        -160          90
        -144          78
        -168          82
        -164          90
        -184          94
        -192          98
        -176          94
        -172          90
        -160          88
        -164          90
        -168          92
        -176          94
        -156          86
        -156          84
        -152          84
        -172          92
        -176          94
        -176          94
        -152          82
        -164          90
        -168          92
        -192          98
        -184          96
        -176          94
        -160          88
        -156          84
        -152          82
        -144          76
        -160          82
        -140          76
        -152          84
        -168          90
        -140          84
        -128          74
        -160          82
        -140          78
        -140          72
        -160          86
        -152          82
        -156          86
        -164          90
        -168          90
        -168          92
        -164          90
        -164          90
        -168          92
        -144          82
        -140          84
        -144          76
        -168          90
        -160          88
        -184          96
        -172          92
        -168          90
        -180          94
        -168          92
        -192          98
        -184          94
        -188          96
        -140          80
        -136          74
        -112          68
        -112          62
        -144          52
        -124          34
        -120          36
        -120          26
        -120          36
        -108          44
        -112          50
        -136          68
        -136          74
        -164          82
        -132          74
        -128          64
        -112          52
        -132          54
        -120          50
        -120          58
        -128          76
        -148          84
        -144          74
        -144          78
        -164          88
        -176          94
        -192          98
        -184          96
        -184          96
        -188          96
        -184          96
        -192          98
        -168          86
        -168          88
        -172          92
        -164          90
        -152          88
        -184          96
        -168          90
        -164          90
        -192          98
        -192          98
        -176          94
        -192          98
        -176          94
        -152          86
        -124          74
        -148          80
